4224=2|30,4,28,4,29,4,27,4|27,2,30,2
1422=2|28,2,27,2,29,2,30,2|28,2
2241=2|29,2,27,2,28,2,30,2|29,2
2112=2|29,2,27,2,28,2,30,2|
3333=3|27,4,28,4,29,4,30,4|27,3,28,3,29,3,30,3
3303=3|27,3,28,3,30,3|27,0,28,0,30,0
4101=1|27,1,28,1,30,1|27,1
2442=4|28,4,29,4,27,4,30,4|28,2,29,2
3123=3|27,3,28,3,30,3,29,3|
3033=3|27,3,29,3,30,3|29,0,30,0,27,0
4212=2|27,2,28,2,30,2,29,2|27,2
1344=4|28,4,29,4,30,4,27,4|28,1,29,1,30,1
114=1|30,1,29,1,28,1|30,1
3231=3|27,3,28,3,29,3,30,3|
4404=4|27,4,28,4,30,4|27,1,28,1,30,1
4110=1|28,1,29,1,27,1|27,1
1440=1|28,1,29,1,27,1|28,1,29,1
1401=1|28,1,27,1,30,1|28,1
2244=4|27,4,28,4,29,4,30,4|29,2,30,2
1434=4|28,4,29,4,30,4,27,4|28,1,29,1,30,1
1212=2|27,2,28,2,30,2,29,2|
1413=1|28,1,30,1,27,1,29,1|30,1,28,1
1134=1|29,1,30,1,27,1,28,1|29,1,30,1
4011=1|27,1,29,1,30,1|27,1
1443=4|28,4,29,4,30,4,27,4|28,1,29,1,30,1
3321=3|27,3,28,3,29,3,30,3|
303=0|30,0,28,0|28,0,30,0
1143=1|28,1,29,1,30,1,27,1|30,1,29,1
4014=1|27,1,30,1,29,1|27,1,30,1
4122=2|27,2,29,2,30,2,28,2|27,2
333=3|28,3,29,3,30,3|29,0,30,0,28,0
441=1|30,1,28,1,29,1|28,1,29,1
2142=2|29,2,27,2,28,2,30,2|29,2
3003=0|27,0,30,0|27,0,30,0
1341=1|28,1,29,1,27,1,30,1|29,1,28,1
1311=1|29,1,30,1,28,1,27,1|28,1
411=1|29,1,30,1,28,1|28,1
3312=3|27,3,28,3,29,3,30,3|
3213=3|27,3,28,3,30,3,29,3|
222=2|30,2,29,2,28,2|
4311=1|30,1,27,1,28,1,29,1|28,1,27,1
3114=1|29,1,28,1,27,1,30,1|27,1,30,1
2211=2|27,2,28,2,29,2,30,2|
2313=3|27,3,28,3,30,3,29,3|
2133=3|27,3,29,3,30,3,28,3|
111=1|29,1,28,1,30,1|
4422=2|27,4,28,4,29,4,30,4|27,2,28,2
2433=4|28,4,27,4,29,4,30,4|28,3
3342=4|27,4,28,4,30,4,29,4|29,3
141=1|30,1,29,1,28,1|29,1
1332=3|28,3,29,3,30,3,27,3|
1101=1|30,1,27,1,28,1|
4440=4|27,4,28,4,29,4|28,1,29,1,27,1
4314=4|30,4,29,4,27,4,28,4|27,1,28,1,30,1
4143=4|27,4,29,4,30,4,28,4|27,1,29,1,30,1
4140=1|27,1,29,1,28,1|27,1,29,1
3=0|30,0|30,0
1014=1|29,1,30,1,27,1|30,1
1233=3|27,3,29,3,30,3,28,3|
3324=4|27,4,28,4,29,4,30,4|30,3
4431=4|30,4,27,4,28,4,29,4|28,1,29,1,27,1
4401=1|27,1,28,1,30,1|27,1,28,1
4134=4|27,4,29,4,30,4,28,4|27,1,29,1,30,1
3144=4|29,4,30,4,28,4,27,4|30,1,27,1,29,1
2412=2|28,2,27,2,30,2,29,2|28,2
30=0|29,0|29,0
1044=1|29,1,30,1,27,1|29,1,30,1
1110=1|27,1,28,1,29,1|
2223=3|27,3,28,3,29,3,30,3|30,2
1011=1|27,1,29,1,30,1|
1122=2|27,2,29,2,30,2,28,2|
4044=4|30,4,27,4,29,4|27,1,29,1,30,1
3243=4|29,4,27,4,28,4,30,4|29,3
2022=2|27,2,29,2,30,2|
4410=1|27,1,28,1,29,1|27,1,28,1
4041=1|27,1,29,1,30,1|27,1,29,1
4104=1|27,1,30,1,28,1|27,1,30,1
4323=3|27,4,28,4,30,4,29,4|27,3
2343=4|27,4,28,4,30,4,29,4|29,3
1041=1|29,1,27,1,30,1|29,1
1104=1|30,1,27,1,28,1|30,1
3300=0|27,0,28,0|27,0,28,0
444=4|28,4,29,4,30,4|29,1,30,1,28,1
3423=4|30,4,29,4,28,4,27,4|28,3
1242=2|29,2,27,2,28,2,30,2|29,2
4413=4|27,4,28,4,30,4,29,4|27,1,28,1,30,1
4332=3|27,4,28,4,29,4,30,4|27,3
3111=1|27,1,29,1,28,1,30,1|27,1
1404=1|28,1,30,1,27,1|28,1,30,1
2421=2|28,2,27,2,29,2,30,2|28,2
1140=1|29,1,27,1,28,1|29,1
1131=1|29,1,27,1,28,1,30,1|29,1
4221=2|27,2,28,2,29,2,30,2|27,2
414=1|28,1,30,1,29,1|28,1,30,1
2124=2|30,2,27,2,28,2,29,2|30,2
2121=2|27,2,28,2,29,2,30,2|
3000=0|27,0|27,0
3330=3|27,3,28,3,29,3|27,0,28,0,29,0
4341=4|30,4,27,4,28,4,29,4|27,1,28,1,29,1
3441=4|27,4,28,4,29,4,30,4|27,1,28,1,29,1
1113=1|30,1,27,1,28,1,29,1|30,1
3414=4|27,4,28,4,30,4,29,4|27,1,28,1,30,1
4131=1|27,1,29,1,28,1,30,1|27,1,29,1
1431=1|28,1,29,1,27,1,30,1|28,1,29,1
33=0|30,0,29,0|29,0,30,0
2232=3|29,3,27,3,28,3,30,3|29,2
2220=2|27,2,28,2,29,2|
2331=3|30,3,27,3,28,3,29,3|
3411=1|28,1,29,1,30,1,27,1|27,1,28,1
330=0|28,0,29,0|28,0,29,0
3030=0|27,0,29,0|27,0,29,0
4113=1|27,1,30,1,28,1,29,1|27,1,30,1
3234=4|30,4,27,4,28,4,29,4|30,3
2214=2|30,2,27,2,28,2,29,2|30,2
1221=2|27,2,28,2,29,2,30,2|
2202=2|27,2,28,2,30,2|
300=0|28,0|28,0
1314=1|30,1,27,1,29,1,28,1|28,1,30,1
2322=3|29,3,30,3,28,3,27,3|28,2
144=1|29,1,30,1,28,1|30,1,29,1
3132=3|27,3,28,3,29,3,30,3|
3141=1|27,1,29,1,28,1,30,1|27,1,29,1
3222=2|27,3,29,3,28,3,30,3|27,2
2424=4|28,4,30,4,27,4,29,4|28,2,30,2
1410=1|27,1,29,1,28,1|28,1
1323=3|30,3,29,3,27,3,28,3|
2334=4|30,4,27,4,28,4,29,4|30,3
4242=2|27,4,29,4,28,4,30,4|29,2,27,2
4233=3|27,4,29,4,30,4,28,4|27,3
3432=4|29,4,30,4,28,4,27,4|28,3
1224=2|30,2,27,2,28,2,29,2|30,2
