431=1|32,1,31,1,33,1|32,1,31,1
242=2|32,2,31,2,33,2|32,2
344=1|31,1,32,1,33,1|31,1,32,1,33,1
311=1|31,1,32,1,33,1|31,1
323=0|32,0,31,0,33,0|32,0,31,0,33,0
341=1|31,1,32,1,33,1|31,1,32,1
443=1|33,1,31,1,32,1|31,1,32,1,33,1
233=0|31,0,32,0,33,0|31,0,32,0,33,0
134=1|32,1,33,1,31,1|32,1,33,1
2=0|33,0|33,0
20=0|32,0|32,0
434=1|32,1,31,1,33,1|32,1,31,1,33,1
413=1|33,1,31,1,32,1|33,1,31,1
131=1|32,1,31,1,33,1|32,1
203=0|31,0,33,0|31,0,33,0
320=0|32,0,31,0|32,0,31,0
332=0|33,0,31,0,32,0|33,0,31,0,32,0
32=0|33,0,32,0|33,0,32,0
113=1|33,1,31,1,32,1|33,1
224=2|31,2,32,2,33,2|33,2
200=0|31,0|31,0
230=0|31,0,32,0|31,0,32,0
314=1|33,1,32,1,31,1|31,1,33,1
23=0|32,0,33,0|32,0,33,0
302=0|33,0,31,0|31,0,33,0
422=2|31,2,32,2,33,2|31,2
143=1|33,1,32,1,31,1|33,1,32,1
